yue	eng
之後 我 去咗 墨爾本 Monash University 做 教職員 25 年 裏邊 所有 嘢 都 係 透過 錄音機 接收 資訊 1990 年 我 嘅 辦公室 收藏 嘅 磁帶 長達 18 英里 學生 家人 朋友 都 幫 過 我 錄音 Lois Doery 女士 係 我 後來 嘅 代母 佢 幫 我 讀 咗 成千上萬 個鐘 頭 其中 一個 我 今日 應承 講 上嚟 講嘅 原因 係 我 希望 Lois Doery 佢 今日 能夠 喺度 令 我 可以 介紹 佢 畀 你哋 並 公開 多謝 佢 可惜 今日 佢 身體 抱恙 未能 夠嚟 到 但 我 想 喺 呢度 多謝 你 Lois Doery	Well I went back and became an academic at Melbourne s Monash University and for those 25 years tape recorders were everything to me In fact in my office in 1990 I had 18 miles of tape Students family and friends all read me material Mrs Lois Doery whom I later came to call my surrogate mum read me many thousands of hours onto tape One of the reasons I agreed to give this talk today was that I was hoping that Lois would be here so I could introduce you to her and publicly thank her But sadly her health hasn t permitted her to come today But I thank you here Lois from this platform
因此 我哋 用 太空總署 嘅 地形 資料 繪製 出 地形 同 細微 嘅 變化 我哋 開始 見到 尼羅河 曾經 流 過 嘅 地方 我哋 覺得 紅色 圈圈 裏面 呢個 微微 拱起 嘅 地方 好 有可能 係 伊塔 威 嘅 位置	So what we did is we used NASA topography data to map out the landscape very subtle changes We started to be able to see where the Nile used to flow But you can see in more detail and even more interesting this very slight raised area seen within the circle up here which we thought could possibly be the location of the city of Itjtawy
住 係 化工廠 附近 嘅人 通常 係 窮人	the cancer that gets inside people
嗰陣 都 無 乜人 提倡 飲食 文化	back in those days there was no philosophy of food
因為 只有 咁 你 至 會 做到 個 目標	because then you just get the job done
等 啲人 知 呢啲 唔係 真牛 油	so we d all know that it was a fake
如果 時光 可以 倒流 幾十 年 我 希望 自己 成為 爸爸 自豪 嘅 仔 當 我 取得 電氣工程 嘅 學士 博士學位 喺 英國 做 研發 喺 中東 做 技術 顧問 我 一直 都 處於 由 男人 掌控 嘅 環境 老實講 我 從未 搵到 我 真心 認同 嘅 榜樣 我 媽媽 嗰 代 人 冇 女人 擠 身 到 領導層 我 一直 都 遇到 一啲 好好人 嘅 男 上司 但係 冇 一個人 知道 我 嘅 需要 同 壓力 特別 係有 咗 兩 個 細路 之後 雪上加霜 雖然 西方 女人 樂意 畀 建議 我 呢啲 貧窮 受 壓迫 嘅 阿拉伯 女人 但係 佢哋 嘅 生活 同 制 肘 同 我哋 截然不同	Fast forward a couple of decades and I hope I didn t do too badly in making my father proud of his would be son As I got my Bachelor s and PhD in electrical engineering did R and D in the UK then consulting in the Middle East I have always been in male dominated environments Truth be told I have never found a role model I could truly identify with My mother s generation wasn t into professional leadership There were some encouraging men along the way but none knew the demands and pressures I was facing pressures that got particularly acute when I had my own two beautiful children And although Western women love to give us poor oppressed Arab women advice they live different lives with different constraints
査 實在 大多數 人嚟 到 多哈 都 係 靠 佢	probably most of you used it coming to Doha
世界 給 了 我 不同 的 選擇	The world presented me with options
去 學習 創造 同 創新	the ability to learn how to be creative and innovative
巨人 先生 你 估 我 信唔信 你 講嘅 嘢 呢	Why should I believe you Mr Lam
喺 八月 嘅 一個 上晝 喺 津巴布韋 首都 哈拉雷 有 個 叫法 拉 嘅 女人 佢 廿四 歲 有 兩 個 仔女 行去 公園 嘅 一張 長櫈 度 佢 望 落去 好 鬱悶 好 沮喪 嗰 張 公園 長凳 已經 有 個八 十二 歲 嘅 婆婆 坐喺 度 人人 都 叫 佢 做 Jack 婆婆 法拉 遞畀 Jack 婆婆 一 封 診所 護士 畀 佢 嘅 介紹信 Jack 婆婆 請 佢 坐低 然後 打開 個 信封 讀 婆婆 睇 信 嘅 三分 鐘 裏 邊 冇人 講嘢 隔咗 一陣 Jack 婆婆 深呼吸 佢 望住 法拉 講 我 係 來 幫 你 嘅 你 可唔可以 講下 你 嘅事 啊	On a warm August morning in Harare Farai a 24 year old mother of two walks towards a park bench She looks miserable and dejected Now on the park bench sits an 82 year old woman better known to the community as Grandmother Jack Farai hands Grandmother Jack an envelope from the clinic nurse Grandmother Jack invites Farai to sit down as she opens the envelope and reads There s silence for three minutes or so as she reads And after a long pause Grandmother Jack takes a deep breath looks at Farai and says I m here for you Would you like to share your story with me
我哋 做完 個 計劃 就 走 左	We just did a project and then left
不過 喺 Chandler 嘅 病例 中 服藥 只係 故事 嘅 開始	But in Chandler s case that was the beginning of the story
對於 iPods iPads 同埋 其他 外表 光鮮 的 事物	to iPods Pads and bling
呢啲 故事 流 梗 血	All the stories began to bleed together
而係 話 我哋 可以 隨時 聯繫 上 我哋 想 聯繫 嘅人	but at anytime we can connect to anyone we want
佢 不但 係 二戰 軍人	a World War II veteran
有啲 20 個 一 組 亦有 4 個	and they travel in groups
因為 人生 喺 嚴肅 認真 嘅	because life is serious
我哋 做咗 同樣 嘅嘢	and this is one of our first projects that we did
笑聲	Laughter
掌聲	Applause
第三方 面 同 大家 都 有關 就係 對於 人類 嘅 聽力 退化 我哋 可以 做 啲 乜嘢 三千 萬 美國人 同 全世界 至少 四 億 人 都 係 日常生活 度 面對 一個 明顯 嘅 問題 喺 嘈雜 嘅 環境 裏 邊 或 係 電話 度 好 難聽 清楚 對方 講啲 乜 好多 人 嘅 狀況 仲會 更 差 此外 隨 著 年齡 嘅 增長 情況 會 繼續 惡化 因為 當 人類 嘅 毛細 胞 死咗 佢哋 唔會 用 細胞分裂 嚟 再次 生長 但係 我哋 知道 非 哺乳類動物 佢哋 嘅 毛細 胞 可以 再生 呢啲 生物 嘅 毛細 胞 死咗 後 會 一直 再生 所以 佢哋 能夠 一直 維持 正常 嘅 聽力 我 用 小 斑馬魚 做 個例 子 最 上方 嘅 細胞 會 進行 分裂 產生 兩 個 新嘅 毛細 胞 佢哋 會 先 搖擺 一陣 之後 就 會 定下 嚟 開始 工作	And the third issue is one that concerns all of us which is what we can do about the deterioration of our hearing Thirty million Americans and more than 400 million people worldwide have significant problems on a daily basis with understanding speech in a noisy environment or over the telephone Many have even worse deficits Moreover these deficits tend to get worse with time because when human hair cells die they re not replaced by cell division But we know that nonmammalian animals can replace their cells and those creatures cells are dying and being replaced throughout life so the animals maintain normal hearing Here s an example from a little zebra fish The cell at the top will undergo a division to produce two new hair cells They dance for a little bit and then settle down and go to work
你 依家 係咪 好 失望 呢	Are you disappointed
所以 於 實驗 嘅 開始 佢哋 問 病人	So they asked them at the beginning
笑聲	Laughter
隔 一陣 就 影張相	Every few moments I shoot the image
掌聲	Applause
我哋 可以 睇到 所 處 嘅 位置	we can see our location
或者 非 牟利 組織	actually look and compare the social performance of companies
依家 嘅 現代 農業 滿足 唔到 呢個 需求 原因 有好多 其中 一個 就係 現代 農業 係 溫室氣體 嘅 其中 一個 最大 排放 源 事實上 佢 溫室氣體 嘅 排放 總量 比 我哋 嘅 汽車 貨車 飛機 同埋 火車 嘅 排放 總量 仲要 大 另一個 原因 就係 佢 佔據 咗 大面 積 嘅 土地 我哋 為 作物 牲畜 騰出 咗 一千 九 百 四十 萬 平方英里 即係 點樣 大概 就係 南美洲 同 非洲 加 起嚟 咁大	Well modern agriculture simply cannot sustainably scale to meet that demand There are a number of reasons why One of them is that modern agriculture is one of the largest emitters of greenhouse gases In fact it emits more greenhouse gases than our cars our trucks our planes and our trains combined Another reason is that modern ag simply takes up a whole lot of land We have cleared 19 4 million square miles for crops and livestock What does that look like Well that s roughly the size of South America and Africa combined
決定 去 現場	we decided to go there
雖然 知道 應該 要點 樣 做	They know what they re supposed to be doing
而 令到 佢 病情 惡化	and left to worsen
佢 話 啊 係 墨西哥灣	she said Oh it s the Gulf of Mexico
嗰陣	At the time
掌聲	Applause
到處 都 係 傷口	and poked and punctured
佢哋 令 我 好 頽 喪	And that makes me really sad
這不 僅僅 針對 發展中國家	That s not only in the developing world
即是 於 提供 信息 嘅時候	giving information to people in a form
跟 行動 串連 起來	always with the action
法律 唔 俾 呀	and because of the law
我 諗 係 因爲 電腦 畀 我哋 好多 力量 喺 數碼 世界 裏邊 我哋 有能力 將 空間 替換 將 時間 替換 無論 你 將 科技 用 喺 娛樂 用途 工作 上 抑或 通訊 上 想像 下 我哋 今晚 一齊 返屋企 睇 我哋 最 鐘意 嘅 電視節目 喺 呢間 戲院 入面 時間 同 空間 改變 咗 當 我 好 快 完 咗 呢 場 TED 演講 之後 我 會 即刻 打畀 我 西雅圖 嘅 家人 呢個時候 空間 改變 咗 可以 睇到 影響 好 大 我哋 仲 可以 將 影響 同 當今 數碼 世界 嘅 二維 限制 結合 起 呢 但係 如果 我哋 無需 要咁 做 呢 如果 我哋 嘅 數碼 世界 有 同樣 嘅 影響 呢 其實 你 已經 睇到 少少 個 影響 但 我 深信 二維 科技 會 喺 兩 代 之後 消失 到時 將會 係 一個 更加 非凡 嘅 世界 當 科技 真真正正 明白人 類 時 無論 生活 工作 定係 通訊 方面 我哋 都 會 有 工具 提升 體驗 唔會 再 有機 械 阻礙 人類 體驗 事物	I think it s because computers give us superpowers Within the digital universe we have the power to displace space and the power to displace time It doesn t matter if you re using technology for entertainment productivity or communication Think of it this way let s all go home tonight and watch our favorite show on television This is theater time and space displaced As soon as I m done with this TED Talk I m going to immediately call my lovely family in Seattle That s displacement of space Now these are such great superpowers that we put up with the two dimensional limitations of our current digital world But what if we didn t have to What if we could have these same digital powers in our world You can already see glimmers of this but I believe our children s children will grow up in a world devoid of 2D technology It s remarkable to dream of this world a world where technology truly understands us where we live work and communicate with tools that enhance the human experience not machines that limit our humanity
支持 佢哋 工作 嘅人	people that support their work
嚟 回應 塔利班 嘅 叛亂	to respond to the Taliban insurgency
受到 幾多	nailed on the doors
我哋 先 上 北京 轉 坐 西伯利亞 鐵路 經 俄羅斯 轉車 落 東歐	Beijing first then the Siberian Express to Eastern Europe stopping by Russia
幾好 呀	Nice figure
呢個 就係 我 個 病人 Chandler 嘅 經歷	That was the experience of my patient Chandler
點解	Why
我 聽講 中東 地區衝突 連連	I was listening to all the noise
